Frame,Time,X (cm),Y (cm),Z (cm)
477.0,1.58667,30.137999999999998,20.3619,4.4757
478.0,1.59,30.1433,20.3618,4.4876
479.0,1.59333,30.145100000000003,20.3614,4.5004
480.0,1.59667,30.149099999999997,20.360599999999998,4.5154000000000005
481.0,1.6,30.153100000000002,20.3572,4.5389
482.0,1.60333,30.1556,20.3609,4.5558
483.0,1.60667,30.155900000000003,20.363300000000002,4.5776
484.0,1.61,30.157400000000003,20.3657,4.5987
485.0,1.61333,30.1623,20.3659,4.6178
486.0,1.61667,30.1659,20.375700000000002,4.6391
487.0,1.62,30.1701,20.3803,4.6633000000000004
488.0,1.62333,30.1741,20.3802,4.6846
489.0,1.62667,30.178800000000003,20.3826,4.706300000000001
490.0,1.63,30.1801,20.3821,4.730700000000001
491.0,1.63333,30.1815,20.3846,4.7543999999999995
492.0,1.63667,30.1778,20.3816,4.7787
493.0,1.64,30.173700000000004,20.3827,4.8005
494.0,1.64333,30.171300000000002,20.3857,4.8346
495.0,1.64667,30.169900000000002,20.3892,4.858
496.0,1.65,30.1641,20.3966,4.885199999999999
497.0,1.65333,30.162599999999998,20.4047,4.9155
498.0,1.65667,30.157999999999998,20.4084,4.9398
499.0,1.66,30.155700000000003,20.4123,4.9693
500.0,1.66333,30.1527,20.422900000000002,4.9961
501.0,1.66667,30.1536,20.431800000000003,5.0271
502.0,1.67,30.151600000000002,20.4416,5.0586
503.0,1.67333,30.1532,20.447499999999998,5.0951
504.0,1.67667,30.152300000000004,20.4544,5.1278
505.0,1.68,30.1464,20.4683,5.1648000000000005
506.0,1.68333,30.139499999999998,20.479,5.201
507.0,1.68667,30.1316,20.4812,5.2362
508.0,1.69,30.123200000000004,20.481,5.2719000000000005
509.0,1.69333,30.119099999999996,20.4986,5.3126
510.0,1.69667,30.1192,20.5132,5.3514
511.0,1.7,30.1303,20.5143,5.399
512.0,1.70333,30.1276,20.527099999999997,5.4524
513.0,1.70667,30.1182,20.5453,5.4994
514.0,1.71,30.1101,20.558600000000002,5.5426
515.0,1.71333,30.108800000000002,20.573500000000003,5.5869
516.0,1.71667,30.101999999999997,20.5852,5.6356
517.0,1.72,30.095499999999998,20.6031,5.6868
518.0,1.72333,30.092000000000002,20.6205,5.7462
519.0,1.72667,30.088299999999997,20.6355,5.8012
520.0,1.73,30.082,20.6537,5.8543
521.0,1.73333,30.0693,20.6714,5.9112
522.0,1.73667,30.0534,20.6903,5.9634
523.0,1.74,30.042399999999997,20.7131,6.019299999999999
524.0,1.74333,30.0442,20.7456,6.0798000000000005
525.0,1.74667,30.0448,20.7625,6.1476
526.0,1.75,30.0242,20.7723,6.201700000000001
527.0,1.75333,30.0072,20.7873,6.2691
528.0,1.75667,29.994400000000002,20.817500000000003,6.3354
529.0,1.76,29.982400000000002,20.8435,6.405500000000001
530.0,1.76333,29.9698,20.8637,6.4670000000000005
531.0,1.76667,29.9567,20.8946,6.533199999999999
532.0,1.77,29.939999999999998,20.9192,6.6065
533.0,1.77333,29.928800000000003,20.944200000000002,6.6748
534.0,1.77667,29.9147,20.9674,6.7495
535.0,1.78,29.898899999999998,21.000700000000002,6.8233999999999995
536.0,1.78333,29.8825,21.0252,6.896599999999999
537.0,1.78667,29.870800000000003,21.049500000000002,6.9626
538.0,1.79,29.8517,21.091900000000003,7.048399999999999
539.0,1.79333,29.8387,21.125999999999998,7.126900000000001
540.0,1.79667,29.8178,21.1541,7.1968000000000005
541.0,1.8,29.795800000000003,21.1794,7.275
542.0,1.80333,29.7779,21.2167,7.3614999999999995
543.0,1.80667,29.7588,21.2456,7.4398
544.0,1.81,29.7366,21.277099999999997,7.526999999999999
545.0,1.81333,29.707900000000002,21.3094,7.605700000000001
546.0,1.81667,29.682799999999997,21.352,7.6867
547.0,1.82,29.669900000000002,21.3855,7.7721
548.0,1.82333,29.641399999999997,21.4279,7.858499999999999
549.0,1.82667,29.6175,21.4555,7.9443
550.0,1.83,29.5935,21.497300000000003,8.0357
551.0,1.83333,29.5759,21.5375,8.116200000000001
