Frame,Time,X,Y,Z
477,0.0,301.38,203.619,44.757
478,0.003330000000000055,301.433,203.618,44.876
479,0.006659999999999888,301.451,203.614,45.004
480,0.010000000000000009,301.491,203.606,45.154
481,0.013330000000000064,301.531,203.572,45.389
482,0.016659999999999897,301.556,203.609,45.558
483,0.020000000000000018,301.559,203.633,45.776
484,0.023330000000000073,301.574,203.657,45.987
485,0.026659999999999906,301.623,203.659,46.178
486,0.030000000000000027,301.659,203.757,46.391
487,0.03333000000000008,301.701,203.803,46.633
488,0.036659999999999915,301.741,203.802,46.846
489,0.040000000000000036,301.788,203.826,47.063
490,0.04332999999999987,301.801,203.821,47.307
491,0.046659999999999924,301.815,203.846,47.544
492,0.050000000000000044,301.778,203.816,47.787
493,0.05332999999999988,301.737,203.827,48.005
494,0.05665999999999993,301.713,203.857,48.346
495,0.06000000000000005,301.699,203.892,48.58
496,0.06332999999999989,301.641,203.966,48.852
497,0.06665999999999994,301.626,204.047,49.155
498,0.07000000000000006,301.58,204.084,49.398
499,0.0733299999999999,301.557,204.123,49.693
500,0.07665999999999995,301.527,204.229,49.961
501,0.08000000000000007,301.536,204.318,50.271
502,0.0833299999999999,301.516,204.416,50.586
503,0.08665999999999996,301.532,204.475,50.951
504,0.09000000000000008,301.523,204.544,51.278
505,0.09332999999999991,301.464,204.683,51.648
506,0.09665999999999997,301.395,204.79,52.01
507,0.09999999999999987,301.316,204.812,52.362
508,0.10332999999999992,301.232,204.81,52.719
509,0.10665999999999998,301.191,204.986,53.126
510,0.10999999999999988,301.192,205.132,53.514
511,0.11332999999999993,301.303,205.143,53.99
512,0.11665999999999999,301.276,205.271,54.524
513,0.11999999999999988,301.182,205.453,54.994
514,0.12332999999999994,301.101,205.586,55.426
515,0.12666,301.088,205.735,55.869
516,0.1299999999999999,301.02,205.852,56.356
517,0.13332999999999995,300.955,206.031,56.868
518,0.13666,300.92,206.205,57.462
519,0.1399999999999999,300.883,206.355,58.012
520,0.14332999999999996,300.82,206.537,58.543
521,0.14666,300.693,206.714,59.112
522,0.1499999999999999,300.534,206.903,59.634
523,0.15332999999999997,300.424,207.131,60.193
524,0.15666000000000002,300.442,207.456,60.798
525,0.15999999999999992,300.448,207.625,61.476
526,0.16332999999999998,300.242,207.723,62.017
527,0.16666000000000003,300.072,207.873,62.691
528,0.16999999999999993,299.944,208.175,63.354
529,0.17332999999999998,299.824,208.435,64.055
530,0.17666000000000004,299.698,208.637,64.67
531,0.17999999999999994,299.567,208.946,65.332
532,0.18333,299.4,209.192,66.065
533,0.18666000000000005,299.288,209.442,66.748
534,0.18999999999999995,299.147,209.674,67.495
535,0.19333,298.989,210.007,68.234
536,0.19666000000000006,298.825,210.252,68.966
537,0.19999999999999996,298.708,210.495,69.626
538,0.20333,298.517,210.919,70.484
539,0.20666000000000007,298.387,211.26,71.269
540,0.20999999999999996,298.178,211.541,71.968
541,0.21333000000000002,297.958,211.794,72.75
542,0.21666000000000007,297.779,212.167,73.615
543,0.21999999999999997,297.588,212.456,74.398
544,0.22333000000000003,297.366,212.771,75.27
545,0.22666000000000008,297.079,213.094,76.057
546,0.22999999999999998,296.828,213.52,76.867
547,0.23333000000000004,296.699,213.855,77.721
548,0.23665999999999987,296.414,214.279,78.585
549,0.24,296.175,214.555,79.443
550,0.24333000000000005,295.935,214.973,80.357
551,0.24665999999999988,295.759,215.375,81.162
552,0.25,295.501,215.796,82.003
553,0.25333000000000006,295.207,216.147,83.017
554,0.2566599999999999,294.989,216.504,83.904
555,0.26,294.7,216.85,84.831
556,0.26333000000000006,294.405,217.189,85.692
557,0.2666599999999999,294.039,217.636,86.679
558,0.27,293.861,218.091,87.597
559,0.2733300000000001,293.547,218.542,88.638
560,0.2766599999999999,293.241,218.917,89.465
561,0.28,292.913,219.386,90.483
562,0.2833300000000001,292.817,219.653,91.588
563,0.2866599999999999,292.578,220.019,92.496
564,0.29000000000000004,292.181,220.593,93.495
565,0.29332999999999987,291.829,221.13,94.44
566,0.2966599999999999,291.55,221.58,95.467
567,0.30000000000000004,291.257,221.905,96.541
568,0.3033299999999999,290.897,222.399,97.579
569,0.30665999999999993,290.497,222.849,98.555
570,0.31000000000000005,290.176,223.282,99.541
571,0.3133299999999999,289.835,223.851,100.695
572,0.31665999999999994,289.563,224.366,101.642
573,0.32000000000000006,289.19,224.915,102.796
574,0.3233299999999999,288.858,225.387,103.722
575,0.32665999999999995,288.537,225.828,104.966
576,0.33000000000000007,288.138,226.337,105.935
577,0.3333299999999999,287.769,226.887,106.994
578,0.33665999999999996,287.359,227.545,108.066
579,0.3400000000000001,287.107,227.975,109.248
580,0.3433299999999999,286.758,228.51,110.378
581,0.34665999999999997,286.355,229.026,111.434
582,0.34999999999999987,285.973,229.533,112.589
583,0.3533299999999999,285.624,230.099,113.675
584,0.35666,285.184,230.787,114.744
585,0.3599999999999999,284.806,231.314,115.984
586,0.36332999999999993,284.445,231.818,117.084
587,0.36666,284.061,232.425,118.26
588,0.3699999999999999,283.681,232.987,119.358
589,0.37332999999999994,283.298,233.654,120.531
590,0.37666,282.905,234.32,121.681
591,0.3799999999999999,282.575,234.824,122.782
592,0.38332999999999995,282.239,235.429,123.995
593,0.38666,281.853,235.977,125.165
594,0.3899999999999999,281.466,236.534,126.355
595,0.39332999999999996,281.166,237.182,127.492
596,0.39666,280.763,237.792,128.68
597,0.3999999999999999,280.338,238.482,129.831
598,0.40332999999999997,280.174,238.912,131.105
599,0.40666,279.728,239.475,132.236
600,0.4099999999999999,279.445,240.199,133.452
601,0.41333,279.107,240.766,134.471
602,0.41666000000000003,278.66,241.46,135.758
603,0.42000000000000015,278.335,241.972,136.883
604,0.42332999999999976,278.066,242.76,138.238
605,0.4266599999999998,277.619,243.401,139.3
606,0.42999999999999994,277.296,244.01,140.515
607,0.43333,276.912,244.56,141.7
608,0.43666000000000005,276.534,245.301,142.906
609,0.44000000000000017,276.141,245.851,144.008
610,0.4433299999999998,275.722,246.525,145.2
611,0.44665999999999983,275.435,247.07,146.421
612,0.44999999999999996,275.039,247.708,147.593
613,0.45333,274.729,248.382,148.802
614,0.45666000000000007,274.379,248.967,149.912
615,0.4600000000000002,274.056,249.559,151.177
616,0.4633299999999998,273.643,250.27,152.404
617,0.46665999999999985,273.283,250.835,153.585
618,0.47,273.002,251.548,154.722
619,0.47333000000000003,272.581,252.137,155.937
620,0.4766600000000001,272.298,252.773,157.129
621,0.47999999999999976,271.964,253.344,158.284
622,0.4833299999999998,271.704,254.194,159.646
623,0.48665999999999987,271.399,254.825,160.626
624,0.49,271.001,255.568,161.924
625,0.49333000000000005,270.734,256.119,163.031
626,0.4966600000000001,270.507,256.895,164.327
627,0.4999999999999998,270.037,257.459,165.396
628,0.5033299999999998,269.717,258.168,166.603
629,0.5066599999999999,269.475,258.833,167.808
630,0.51,269.028,259.554,169.002
631,0.5133300000000001,268.673,260.166,170.201
632,0.5166600000000001,268.314,260.769,171.375
633,0.5199999999999998,268.028,261.565,172.627
634,0.5233299999999999,267.64,262.147,173.75
635,0.5266599999999999,267.313,262.909,174.892
636,0.53,267.01,263.611,176.216
637,0.5333300000000001,266.709,264.347,177.445
638,0.5366600000000001,266.421,264.985,178.571
639,0.5399999999999998,266.063,265.687,179.739
640,0.5433299999999999,265.88,266.384,180.972
641,0.5466599999999999,265.462,267.132,182.17
642,0.55,265.12,267.798,183.344
643,0.5533300000000001,264.789,268.416,184.592
644,0.5566600000000002,264.392,269.139,185.839
645,0.5599999999999998,264.148,269.885,187.001
646,0.5633299999999999,263.779,270.578,188.116
647,0.5666599999999999,263.488,271.32,189.54
648,0.5700000000000001,263.206,271.939,190.622
649,0.5733300000000001,262.751,272.767,191.853
650,0.5766600000000002,262.53,273.398,193.102
651,0.5799999999999998,262.252,274.166,194.371
652,0.5833299999999999,261.921,274.97,195.588
653,0.58666,261.711,275.609,196.666
654,0.5900000000000001,261.384,276.497,198.097
655,0.5933300000000001,261.029,277.143,199.181
656,0.5966600000000002,260.693,277.868,200.405
657,0.5999999999999999,260.389,278.652,201.739
658,0.6033299999999999,260.175,279.366,202.92
659,0.60666,259.835,280.116,204.101
660,0.6100000000000001,259.532,280.906,205.403
661,0.6133300000000002,259.24,281.602,206.656
662,0.6166599999999998,258.912,282.441,207.896
663,0.6199999999999999,258.567,283.201,209.068
664,0.6233299999999999,258.37,283.89,210.399
665,0.62666,258.074,284.686,211.604
666,0.6300000000000001,257.768,285.353,212.746
667,0.6333300000000002,257.458,286.267,214.136
668,0.6366599999999998,257.148,286.953,215.288
669,0.6399999999999999,256.825,287.677,216.562
670,0.64333,256.565,288.471,217.786
671,0.64666,256.356,289.267,219.139
672,0.6500000000000001,256.053,290.045,220.252
673,0.6533300000000002,255.724,290.852,221.482
674,0.6566599999999998,255.473,291.658,222.903
675,0.6599999999999999,255.198,292.41,224.019
676,0.66333,254.762,293.182,225.251
677,0.66666,254.674,293.912,226.622
678,0.6700000000000002,254.297,294.751,227.811
679,0.6733299999999998,254.003,295.47,228.967
680,0.6766599999999998,253.72,296.37,230.353
681,0.6799999999999999,253.367,297.041,231.642
682,0.68333,253.144,297.822,232.88
683,0.68666,252.776,298.727,234.197
684,0.6900000000000002,252.602,299.475,235.474
685,0.6933299999999998,252.256,300.227,236.648
686,0.6966599999999998,251.882,301.149,237.933
687,0.7,251.678,301.828,239.299
688,0.70333,251.36,302.656,240.546
689,0.7066600000000001,251.016,303.382,241.775
690,0.7100000000000002,250.896,304.245,243.253
691,0.7133299999999998,250.523,305.014,244.366
692,0.7166599999999999,250.261,305.979,245.629
693,0.72,249.984,306.665,246.929
694,0.72333,249.658,307.442,248.262
695,0.7266600000000001,249.366,308.239,249.551
696,0.7299999999999998,249.182,309.111,250.908
697,0.7333299999999998,248.897,309.852,252.152
698,0.7366599999999999,248.57,310.821,253.359
699,0.74,248.278,311.539,254.775
700,0.74333,248.005,312.251,256.04
701,0.7466600000000001,247.688,313.135,257.357
702,0.7499999999999998,247.457,313.957,258.653
703,0.7533299999999998,247.226,314.73,259.996
704,0.7566599999999999,246.85,315.65,261.264
705,0.76,246.681,316.189,262.612
706,0.7633300000000001,246.324,317.139,263.943
707,0.7666600000000001,246.108,317.924,265.217
708,0.7699999999999998,245.893,318.712,266.659
709,0.7733299999999999,245.574,319.561,267.938
710,0.7766599999999999,245.368,320.344,269.19
711,0.78,245.009,321.232,270.556
712,0.7833300000000001,244.748,322.047,271.722
713,0.7866600000000001,244.418,322.924,273.165
714,0.7899999999999998,244.312,323.685,274.573
715,0.7933299999999999,244.041,324.467,275.808
716,0.7966599999999999,243.711,325.402,277.163
717,0.8,243.535,326.12,278.444
718,0.8033300000000001,243.165,327.051,279.832
719,0.8066600000000002,242.966,327.92,281.099
720,0.8099999999999998,242.749,328.643,282.46
721,0.8133299999999999,242.415,329.603,283.801
722,0.8166599999999999,242.172,330.305,285.082
723,0.8200000000000001,241.853,331.272,286.519
724,0.8233300000000001,241.544,331.985,287.726
725,0.8266600000000002,241.325,332.954,289.113
726,0.8299999999999998,241.007,333.816,290.442
727,0.8333299999999999,240.793,334.562,291.741
728,0.83666,240.505,335.388,293.202
729,0.8400000000000001,240.249,336.293,294.471
730,0.8433300000000001,239.99,337.179,295.802
731,0.8466600000000002,239.682,338.046,297.221
732,0.8499999999999999,239.453,338.857,298.524
733,0.8533299999999999,239.222,339.75,299.948
734,0.85666,239.042,340.611,301.222
735,0.8600000000000001,238.714,341.431,302.63
736,0.8633300000000002,238.504,342.24,304.034
737,0.8666599999999998,238.209,343.136,305.33
738,0.8699999999999999,237.885,344.047,306.681
739,0.8733299999999999,237.753,344.757,308.021
740,0.87666,237.391,345.663,309.418
741,0.8800000000000001,237.175,346.511,310.783
742,0.8833300000000002,236.956,347.439,312.162
743,0.8866599999999998,236.639,348.221,313.461
744,0.8899999999999999,236.382,349.062,314.727
745,0.89333,236.139,350.023,316.307
746,0.89666,235.939,350.797,317.62
747,0.9000000000000001,235.692,351.752,318.891
748,0.9033300000000002,235.503,352.599,320.407
749,0.9066599999999998,235.157,353.403,321.698
750,0.9099999999999999,234.905,354.28,323.036
751,0.91333,234.736,355.254,324.569
752,0.91666,234.444,356.092,325.751
753,0.9200000000000002,234.311,356.939,327.226
754,0.9233299999999998,233.965,357.915,328.68
755,0.9266599999999998,233.788,358.695,329.976
756,0.9299999999999999,233.512,359.684,331.453
757,0.93333,233.251,360.526,332.769
758,0.93666,233.048,361.362,334.147
759,0.9400000000000002,232.776,362.295,335.71
760,0.9433299999999998,232.532,363.103,336.958
761,0.9466599999999998,232.319,364.021,338.456
762,0.95,232.022,364.943,339.866
763,0.95333,231.729,365.83,341.242
764,0.9566600000000001,231.527,366.705,342.68
765,0.9600000000000002,231.27,367.622,344.101
766,0.9633299999999998,231.006,368.554,345.554
767,0.9666599999999999,230.766,369.356,347.016
768,0.97,230.49,370.292,348.409
769,0.97333,230.217,371.221,349.822
