Frame,Time,X,Y,Z
1,0,301.38,203.619,44.757
2,0.00333,301.433,203.618,44.876
3,0.00666,301.451,203.614,45.004
4,0.01,301.491,203.606,45.154
5,0.01333,301.531,203.572,45.389
6,0.01666,301.556,203.609,45.558
7,0.02,301.559,203.633,45.776
8,0.02333,301.574,203.657,45.987
9,0.02666,301.623,203.659,46.178
10,0.03,301.659,203.757,46.391
11,0.03333,301.701,203.803,46.633
12,0.03666,301.741,203.802,46.846
13,0.04,301.788,203.826,47.063
14,0.04333,301.801,203.821,47.307
15,0.04666,301.815,203.846,47.544
16,0.05,301.778,203.816,47.787
17,0.05333,301.737,203.827,48.005
18,0.05666,301.713,203.857,48.346
19,0.06,301.699,203.892,48.58
20,0.06333,301.641,203.966,48.852
21,0.06666,301.626,204.047,49.155
22,0.07,301.58,204.084,49.398
23,0.07333,301.557,204.123,49.693
24,0.07666,301.527,204.229,49.961
25,0.08,301.536,204.318,50.271
26,0.08333,301.516,204.416,50.586
27,0.08666,301.532,204.475,50.951
28,0.09,301.523,204.544,51.278
29,0.09333,301.464,204.683,51.648
30,0.09666,301.395,204.79,52.01
31,0.1,301.316,204.812,52.362
32,0.10333,301.232,204.81,52.719
33,0.10666,301.191,204.986,53.126
34,0.11,301.192,205.132,53.514
35,0.11333,301.303,205.143,53.99
36,0.11666,301.276,205.271,54.524
37,0.12,301.182,205.453,54.994
38,0.12333,301.101,205.586,55.426
39,0.12666,301.088,205.735,55.869
40,0.13,301.02,205.852,56.356
41,0.13333,300.955,206.031,56.868
42,0.13666,300.92,206.205,57.462
43,0.14,300.883,206.355,58.012
44,0.14333,300.82,206.537,58.543
45,0.14666,300.693,206.714,59.112
46,0.15,300.534,206.903,59.634
47,0.15333,300.424,207.131,60.193
48,0.15666,300.442,207.456,60.798
49,0.16,300.448,207.625,61.476
50,0.16333,300.242,207.723,62.017
51,0.16666,300.072,207.873,62.691
52,0.17,299.944,208.175,63.354
53,0.17333,299.824,208.435,64.055
54,0.17666,299.698,208.637,64.67
55,0.18,299.567,208.946,65.332
56,0.18333,299.4,209.192,66.065
57,0.18666,299.288,209.442,66.748
58,0.19,299.147,209.674,67.495
59,0.19333,298.989,210.007,68.234
60,0.19666,298.825,210.252,68.966
61,0.2,298.708,210.495,69.626
62,0.20333,298.517,210.919,70.484
63,0.20666,298.387,211.26,71.269
64,0.21,298.178,211.541,71.968
65,0.21333,297.958,211.794,72.75
66,0.21666,297.779,212.167,73.615
67,0.22,297.588,212.456,74.398
68,0.22333,297.366,212.771,75.27
69,0.22666,297.079,213.094,76.057
70,0.23,296.828,213.52,76.867
71,0.23333,296.699,213.855,77.721
72,0.23666,296.414,214.279,78.585
73,0.24,296.175,214.555,79.443
74,0.24333,295.935,214.973,80.357
75,0.24666,295.759,215.375,81.162
76,0.25,295.501,215.796,82.003
77,0.25333,295.207,216.147,83.017
78,0.25666,294.989,216.504,83.904
79,0.26,294.7,216.85,84.831
80,0.26333,294.405,217.189,85.692
81,0.26666,294.039,217.636,86.679
82,0.27,293.861,218.091,87.597
83,0.27333,293.547,218.542,88.638
84,0.27666,293.241,218.917,89.465
85,0.28,292.913,219.386,90.483
86,0.28333,292.817,219.653,91.588
87,0.28666,292.578,220.019,92.496
88,0.29,292.181,220.593,93.495
89,0.29333,291.829,221.13,94.44
90,0.29666,291.55,221.58,95.467
91,0.3,291.257,221.905,96.541
92,0.30333,290.897,222.399,97.579
93,0.30666,290.497,222.849,98.555
94,0.31,290.176,223.282,99.541
95,0.31333,289.835,223.851,100.695
96,0.31666,289.563,224.366,101.642
97,0.32,289.19,224.915,102.796
98,0.32333,288.858,225.387,103.722
99,0.32666,288.537,225.828,104.966
100,0.33,288.138,226.337,105.935
101,0.33333,287.769,226.887,106.994
102,0.33666,287.359,227.545,108.066
103,0.34,287.107,227.975,109.248
104,0.34333,286.758,228.51,110.378
105,0.34666,286.355,229.026,111.434
106,0.35,285.973,229.533,112.589
107,0.35333,285.624,230.099,113.675
