Frame,Time,X,Y,Z,vx,vy,vz,ax,ay,az
1,0,301.38,203.619,44.757,0,0,0,0,0,0
2,0.00333,301.433,203.618,44.876,5.405405405,-1.201201201,38.43843844,1973.165916,-358.561075,1943.465827
3,0.00666,301.451,203.614,45.004,11.9760479,-2.395209581,44.91017964,10.76769696,-2339.820548,7682.751775
4,0.01,301.491,203.606,45.154,12.01201201,-10.21021021,70.57057057,-1352.704055,6402.799196,-5951.897844
5,0.01333,301.531,203.572,45.389,7.507507508,11.11111111,50.75075075,-1984.77595,-1178.823534,4359.973071
6,0.01666,301.556,203.609,45.558,0.898203593,7.185628743,65.26946108,1079.730812,6.460618171,-570.6879385
7,0.02,301.559,203.633,45.776,4.504504505,7.207207207,63.36336336,3066.129192,-1983.965948,-1803.605407
8,0.02333,301.574,203.657,45.987,14.71471471,0.600600601,57.35735736,-1182.063544,8630.845875,1926.455776
9,0.02666,301.623,203.659,46.178,10.77844311,29.34131737,63.77245509,549.1525446,-4648.953159,2664.735803
10,0.03,301.659,203.757,46.391,12.61261261,13.81381381,72.67267267,-180.3605407,-4238.472707,-2615.22784
11,0.03333,301.701,203.803,46.633,12.01201201,-0.3003003,63.96396396,618.5718545,2248.02674,302.1309058
12,0.03666,301.741,203.802,46.846,14.07185629,7.185628743,64.97005988,-3044.297121,-2600.937199,2485.992034
13,0.04,301.788,203.826,47.063,3.903903904,-1.501501502,73.27327327,90.18027036,2705.408111,-631.2618925
14,0.04333,301.801,203.821,47.307,4.204204204,7.507507508,71.17117117,-4589.203758,-4951.814846,475.4714255
15,0.04666,301.815,203.846,47.544,-11.07784431,-8.982035928,72.75449102,-369.6011979,3678.245279,-2182.34298
16,0.05,301.778,203.816,47.787,-12.31231231,3.303303303,65.46546547,1533.064596,1713.425137,11092.17325
17,0.05333,301.737,203.827,48.005,-7.207207207,9.009009009,102.4024024,905.5827149,441.4513235,-9712.469118
18,0.05666,301.713,203.857,48.346,-4.191616766,10.47904192,70.05988024,-3959.820554,3515.922247,3479.58127
19,0.06,301.699,203.892,48.58,-17.41741742,22.22222222,81.68168168,3877.751625,631.2618925,2795.588381
20,0.06333,301.641,203.966,48.852,-4.504504505,24.32432432,90.99099099,-2783.168344,-3977.921926,-5476.426418
21,0.06666,301.626,204.047,49.155,-13.77245509,11.07784431,72.75449102,2055.553348,189.7806588,4740.747776
22,0.07,301.58,204.084,49.398,-6.906906907,11.71171171,88.58858859,-631.2618925,6042.078114,-2434.8673
23,0.07333,301.557,204.123,49.693,-9.009009009,31.83183183,80.48048048,3514.600537,-1557.094668,3703.871104
24,0.07666,301.527,204.229,49.961,2.694610778,26.64670659,92.81437126,-2604.975085,833.1505517,533.0009991
25,0.08,301.536,204.318,50.271,-6.006006006,29.42942943,94.59459459,3246.489733,-3517.030544,4509.013518
26,0.08333,301.516,204.416,50.586,4.804804805,17.71771772,109.6096096,-2252.076752,883.1726478,-3515.140538
